avalicao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
204,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
205,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
206,36433,36811,36906,36084,36590,36698,36584,36793,36830,36572
207,36433,36811,36906,36084,36590,36698,36584,36793,36830,36572
208,36433,36811,36906,36084,36590,36698,36584,36793,36830,36572
209,36433,36811,36906,36084,36590,36698,36584,36793,37494,36572
210,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
211,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
212,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
213,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
214,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
215,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
216,36904,36811,36906,36084,36590,36698,36584,36793,37494,36572
217,36904,36811,36906,36084,36590,36698,36584,36793,37494,36776
218,36904,36811,36906,36084,36590,36698,36584,36793,37494,36776
219,36904,36811,36906,36084,36590,36698,36584,36793,37494,36776
220,36904,36811,36906,36084,36590,37098,36584,36793,37494,36776
221,36904,36811,36906,36084,36590,37098,36584,36793,37494,36776
222,36904,36811,36906,36084,36590,37098,36879,36793,37494,36776
223,36904,36811,36906,36084,36590,37098,36879,36793,37494,36776
224,36904,36811,36906,36084,36590,37098,36879,36793,37494,36776
225,36904,36811,36906,36084,36590,37098,36879,36793,37494,36776
226,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
227,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
228,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
229,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
230,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
231,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
232,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
233,36904,36811,36906,36126,36590,37098,36879,36793,37494,36776
234,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
235,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
236,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
237,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
238,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
239,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
240,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
241,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
242,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
243,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
244,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
245,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
246,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
247,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
248,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
249,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
250,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
251,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
252,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
253,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
254,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
255,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
256,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
257,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
258,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
259,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
260,36904,36811,36906,36265,36590,37098,36879,36793,37494,36776
261,36904,36811,36906,36265,36590,37098,36994,36793,37494,36776
262,36904,36811,36906,36265,36590,37098,36994,36793,37494,36776
263,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
264,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
265,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
266,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
267,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
268,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
269,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
270,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
271,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
272,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
273,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
274,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
275,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
276,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
277,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
278,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
279,36904,36811,36906,36669,36590,37098,36994,36793,37494,36776
280,36904,36811,36906,36669,36653,37098,36994,36793,37494,36776
281,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
282,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
283,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
284,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
285,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
286,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
287,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
288,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
289,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
290,36904,36811,36906,36810,36653,37098,36994,36793,37494,36776
291,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
292,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
293,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
294,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
295,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
296,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
297,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
298,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
299,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
300,36904,36811,36906,36810,36653,37098,37004,36793,37494,36776
301,36904,36811,36906,36810,36653,37098,37004,37759,37494,36776
302,36904,36811,36906,36810,36653,37098,37004,37759,37494,36776
303,36904,36811,36906,36810,36653,37098,37004,37759,37494,36776
304,36904,36811,36906,37018,36653,37098,37004,37759,37494,36776
305,36904,36811,36906,37018,36653,37098,37004,37759,37494,36776
306,36904,36811,36906,37018,36767,37098,37004,37759,37494,36776
307,37331,36811,36906,37018,36767,37098,37004,37759,37494,36776
308,37331,36811,36906,37018,36767,37098,37004,37759,37494,36776
309,37331,36811,36906,37018,36767,37098,37004,37759,37494,36776
310,37331,36811,36906,37018,36767,37098,37004,37759,37494,36776
311,37331,36811,36906,37018,37723,37098,37004,37759,37494,36776
312,37331,36811,36906,37018,37723,37098,37004,37759,37494,36776
313,37331,36811,36906,37018,37723,37523,37004,37759,37494,36776
314,37331,36811,36906,37018,37723,37523,37004,37759,37494,36776
315,37331,36811,36906,37018,37723,37523,37004,37759,37494,36776
316,37331,36811,36906,37018,37723,37523,37004,37759,37494,36776
317,37331,36811,36906,37018,37723,37523,37004,37759,37494,36776
318,37331,37356,36906,37018,37723,37523,37004,37759,37494,36776
319,37331,37356,36906,37018,37723,37523,37004,37759,37494,36776
320,37331,37356,36906,37018,37723,37523,37004,37759,37494,37606
321,37331,37356,36906,37018,37723,37523,37004,37759,37494,38072
322,37331,37356,36906,37018,37723,37523,37004,37759,37494,38072
323,37331,37356,36906,37018,37723,37523,37004,37759,37494,38072
324,37331,37356,36906,37018,37723,37523,37004,37759,37494,38072
325,37331,37356,36906,37018,37723,37523,37004,37759,37494,38072
326,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
327,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
328,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
329,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
330,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
331,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
332,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
333,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
334,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
335,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
336,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
337,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
338,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
339,37331,37356,36906,37060,37723,37523,37004,37759,37494,38072
340,37331,37356,36906,37060,37723,37523,37513,37759,37494,38072
341,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
342,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
343,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
344,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
345,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
346,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
347,37331,37356,36906,37095,37723,37523,37513,37759,37494,38072
348,37331,37356,37583,37095,37723,37523,37513,37759,37494,38072
349,37331,37356,37583,37095,37723,37523,37513,37759,37494,38072
350,37331,37356,37583,37095,37723,37523,37513,37759,37494,38072
351,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
352,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
353,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
354,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
355,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
356,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
357,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
358,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
359,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
360,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
361,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
362,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
363,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
364,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
365,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
366,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
367,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
368,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
369,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
370,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
371,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
372,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
373,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
374,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
375,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
376,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
377,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
378,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
379,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
380,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
381,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
382,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
383,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
384,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
385,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
386,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
387,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
388,37676,37356,37583,37095,37723,37523,37513,37759,37494,38072
389,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
390,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
391,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
392,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
393,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
394,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
395,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
396,37676,37356,37583,37170,37723,37523,37513,37759,37494,38072
397,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
398,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
399,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
400,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
401,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
402,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
403,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
404,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
405,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
406,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
407,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
408,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
