avaliacao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
387,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
388,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
389,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
390,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
391,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
392,38467,38877,38181,38368,37746,38109,38012,37687,37671,38136
393,38467,38877,38181,38368,37746,38109,38012,37687,37671,38136
394,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
395,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
396,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
397,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
398,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
399,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
400,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
401,38467,38877,38181,38368,38406,38109,38012,37687,37671,38136
402,38467,38877,38181,38368,38406,38244,38012,37687,37671,38136
403,38467,38877,38181,38368,38406,38244,38366,37687,37671,38136
404,38467,38877,38181,38368,38406,38244,38366,37687,37671,38136
405,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
406,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
407,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
408,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
409,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
410,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
411,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
412,38467,38877,38181,38368,38406,38244,38366,37789,37671,38136
413,38498,38877,38181,38368,38406,38244,38366,37789,37671,38136
414,38498,38877,38181,38368,38406,38244,38366,37789,37865,38136
415,38498,38877,38181,38368,38406,38244,38366,37789,37865,38136
416,38498,38877,38181,38368,38406,38244,38366,37789,37865,38136
417,38498,38877,38181,38368,38406,38244,38366,37789,37865,38136
