geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
175;0.030879;0.000128;49655;42195;746;48847.63;47752.0;49655;42195;746;164;False
176;0.031378;0.00012;49655;42195;746;48838.35;47849.0;49655;42195;746;164;False
177;0.030979;0.000138;49655;42195;746;48839.1;47576.0;49655;42195;746;164;False
178;0.028281;0.000145;49655;42195;746;48866.31;47692.0;49655;42195;746;164;False
179;0.029075;0.000122;49655;42195;746;48956.81;47873.0;49655;42195;746;164;False
180;0.028855;0.000114;49655;42195;746;49036.62;48003.0;49655;42195;746;164;False
181;0.029184;0.00016;49655;42195;746;48898.82;48078.0;49655;42195;746;164;False
182;0.031755;0.000191;49655;42195;746;48832.46;48037.0;49655;42195;746;164;False
183;0.029764;0.000119;49655;42195;746;48841.84;47887.0;49655;42195;746;164;False
184;0.028629;0.000156;49655;42195;746;48896.72;47918.0;49655;42195;746;164;False
185;0.028899;0.00012;49655;42195;746;48875.0;47785.0;49655;42195;746;164;False
186;0.028826;0.000114;49655;42195;746;48897.52;47801.0;49655;42195;746;164;False
187;0.030446;0.000121;49655;42195;746;48958.52;48043.0;49655;42195;746;164;False
188;0.030416;0.000116;49655;42195;746;48925.88;47807.0;49655;42195;746;164;False
189;0.028469;0.000153;49655;42195;746;48903.75;47429.0;49655;42195;746;164;False
190;0.02791;0.000108;49655;42195;746;48913.14;47448.0;49655;42195;746;164;False
191;0.02921;0.000124;49655;42195;746;49068.19;48134.0;49655;42195;746;164;False
192;0.028339;0.000103;49655;42195;746;49104.74;47974.0;49655;42195;746;164;False
193;0.028145;0.000104;49655;42195;746;48968.13;47596.0;49655;42195;746;164;False
194;0.029402;0.000107;49655;42195;746;49151.22;48139.0;49655;42195;746;164;False
195;0.029455;0.000116;49655;42195;746;49127.96;48170.0;49655;42195;746;164;False
196;0.030237;0.000108;49655;42195;746;49044.75;48147.0;49655;42195;746;164;False
197;0.028345;0.000122;49655;42195;746;48984.04;47342.0;49655;42195;746;164;False
198;0.027271;0.000105;49655;42195;746;49186.19;48177.0;49655;42195;746;164;False
199;0.027452;0.000106;49657;42197;746;49118.64;48064.0;49657;42197;746;199;True
200;0.028413;0.000701;49657;42197;746;49082.14;47542.0;49657;42197;746;199;False
201;0.027314;0.000169;49657;42197;746;48974.05;47621.0;49657;42197;746;199;False
202;0.028042;0.000105;49657;42197;746;49013.85;47811.0;49657;42197;746;199;False
203;0.028283;0.000105;49657;42197;746;48858.0;47918.0;49657;42197;746;199;False
204;0.03389;0.000209;49657;42197;746;48834.07;47951.0;49657;42197;746;199;False
205;0.029205;0.000112;49657;42197;746;48812.69;47674.0;49657;42197;746;199;False
206;0.02759;0.000113;49657;42197;746;48878.11;47835.0;49657;42197;746;199;False
207;0.028082;0.000106;49657;42197;746;48931.76;47825.0;49657;42197;746;199;False
208;0.027955;0.000118;49657;42197;746;48911.34;48024.0;49657;42197;746;199;False
209;0.02801;0.000107;49657;42197;746;48876.13;47801.0;49657;42197;746;199;False
210;0.02763;0.000193;49657;42197;746;49011.16;47880.0;49657;42197;746;199;False
211;0.028162;0.000106;49657;42197;746;48998.84;48083.0;49657;42197;746;199;False
212;0.027773;0.000102;49657;42197;746;49080.45;48161.0;49657;42197;746;199;False
213;0.027614;0.000105;49657;42197;746;48993.7;48300.0;49657;42197;746;199;False
214;0.027349;0.000109;49657;42197;746;48906.17;48033.0;49657;42197;746;199;False
215;0.027898;0.000111;49657;42197;746;48766.25;47665.0;49657;42197;746;199;False
216;0.027521;0.000108;49657;42197;746;48774.02;47201.0;49657;42197;746;199;False
217;0.02868;0.000108;49657;42197;746;48907.46;47605.0;49657;42197;746;199;False
218;0.028046;0.000109;49657;42197;746;49044.68;47886.0;49657;42197;746;199;False
219;0.029322;7e-05;49666;42196;747;49049.89;47592.0;49666;42196;747;219;True
220;0.028164;6.9e-05;49666;42196;747;49128.34;48195.0;49666;42196;747;219;False
221;0.028309;7e-05;49666;42196;747;49050.6;47983.0;49666;42196;747;219;False
222;0.027839;6.4e-05;49666;42196;747;49098.26;48261.0;49666;42196;747;219;False
223;0.028354;7.1e-05;49666;42196;747;48989.16;47927.0;49666;42196;747;219;False
224;0.028532;6.9e-05;49666;42196;747;48947.55;47827.0;49666;42196;747;219;False
225;0.028016;0.000111;49666;42196;747;48936.51;47445.0;49666;42196;747;219;False
226;0.028702;6.8e-05;49666;42196;747;49026.98;47955.0;49666;42196;747;219;False
227;0.027827;6.9e-05;49666;42196;747;48918.87;48111.0;49666;42196;747;219;False
228;0.027803;7.1e-05;49666;42196;747;48848.86;47624.0;49666;42196;747;219;False
229;0.027197;7.6e-05;49666;42196;747;48755.95;47774.0;49666;42196;747;219;False
230;0.027455;0.00013;49666;42196;747;48680.84;47729.0;49666;42196;747;219;False
231;0.028842;7.5e-05;49666;42196;747;48521.46;47186.0;49666;42196;747;219;False
232;0.027513;6.5e-05;49666;42196;747;48571.19;47588.0;49666;42196;747;219;False
233;0.027278;6.9e-05;49666;42196;747;48604.58;47566.0;49666;42196;747;219;False
234;0.028046;7.1e-05;49666;42196;747;48772.37;47224.0;49666;42196;747;219;False
235;0.027072;6.5e-05;49666;42196;747;48739.52;47581.0;49666;42196;747;219;False
236;0.027245;6.8e-05;49666;42196;747;48726.54;47216.0;49666;42196;747;219;False
237;0.027185;9.8e-05;49666;42196;747;48842.94;47540.0;49666;42196;747;219;False
238;0.027236;0.000106;49675;42195;748;48963.51;47862.0;49675;42195;748;238;True
239;0.02657;0.000106;49675;42195;748;48958.74;47760.0;49675;42195;748;238;False
240;0.026655;0.000105;49675;42195;748;48973.42;48083.0;49675;42195;748;238;False
241;0.026999;0.000102;49675;42195;748;48886.91;48040.0;49675;42195;748;238;False
242;0.026162;0.000143;49675;42195;748;48774.71;47423.0;49675;42195;748;238;False
243;0.027076;0.000106;49675;42195;748;48931.68;47753.0;49675;42195;748;238;False
244;0.028084;0.000112;49675;42195;748;49061.83;48160.0;49675;42195;748;238;False
245;0.027051;0.000107;49675;42195;748;49027.84;47953.0;49675;42195;748;238;False
246;0.02737;0.00011;49675;42195;748;48965.86;47954.0;49675;42195;748;238;False
247;0.028783;0.00013;49675;42195;748;48893.98;47866.0;49675;42195;748;238;False
248;0.028623;0.000117;49675;42195;748;48978.75;47846.0;49675;42195;748;238;False
249;0.028715;0.000115;49675;42195;748;48903.33;47821.0;49675;42195;748;238;False
250;0.029042;0.000282;49675;42195;748;48855.09;47664.0;49675;42195;748;238;False
251;0.03018;0.000113;49675;42195;748;48923.55;47731.0;49675;42195;748;238;False
252;0.029134;0.000112;49675;42195;748;49039.96;47594.0;49675;42195;748;238;False
253;0.029127;0.000105;49675;42195;748;49104.82;48095.0;49675;42195;748;238;False
254;0.027779;0.000109;49675;42195;748;49054.54;47955.0;49675;42195;748;238;False
255;0.028119;0.000115;49675;42195;748;49036.03;47961.0;49675;42195;748;238;False
256;0.028505;0.000113;49675;42195;748;49088.15;48443.0;49675;42195;748;238;False
257;0.027765;0.000117;49675;42195;748;48969.32;47906.0;49675;42195;748;238;False
258;0.028486;0.000108;49675;42195;748;48962.13;47919.0;49675;42195;748;238;False
259;0.028446;0.000106;49675;42195;748;49117.18;47996.0;49675;42195;748;238;False
260;0.027813;0.000109;49675;42195;748;48991.03;48107.0;49675;42195;748;238;False
261;0.02836;0.000118;49675;42195;748;49068.02;47722.0;49675;42195;748;238;False
262;0.028357;0.000111;49675;42195;748;49029.86;47880.0;49675;42195;748;238;False
263;0.027847;0.000101;49675;42195;748;49139.99;48054.0;49675;42195;748;238;False
264;0.027795;0.000104;49675;42195;748;49193.07;48167.0;49675;42195;748;238;False
265;0.027567;0.000168;49675;42195;748;49111.91;47761.0;49675;42195;748;238;False
266;0.027933;0.000104;49687;42187;750;48994.88;47784.0;49687;42187;750;266;True
267;0.027392;0.000115;49687;42187;750;48965.79;47642.0;49687;42187;750;266;False
268;0.027225;0.000102;49687;42187;750;48917.81;47474.0;49687;42187;750;266;False
269;0.028894;0.000104;49687;42187;750;48968.09;47808.0;49687;42187;750;266;False
270;0.027306;0.000113;49687;42187;750;48979.39;47854.0;49687;42187;750;266;False
271;0.027139;0.000101;49687;42187;750;48981.51;47674.0;49687;42187;750;266;False
272;0.025835;9.6e-05;49687;42187;750;48962.9;48094.0;49687;42187;750;266;False
273;0.025904;0.000104;49687;42187;750;48945.43;48248.0;49687;42187;750;266;False
274;0.027696;0.000118;49687;42187;750;48847.64;47519.0;49687;42187;750;266;False
275;0.029773;0.000108;49687;42187;750;48864.09;47652.0;49687;42187;750;266;False
276;0.027178;0.000101;49687;42187;750;48882.45;47823.0;49687;42187;750;266;False
277;0.025192;9e-05;49687;42187;750;48879.43;48068.0;49687;42187;750;266;False
278;0.025021;9.5e-05;49687;42187;750;48943.87;48152.0;49687;42187;750;266;False
279;0.024235;9.2e-05;49687;42187;750;48908.61;47742.0;49687;42187;750;266;False
280;0.024335;9.5e-05;49687;42187;750;48918.61;47646.0;49687;42187;750;266;False
281;0.024981;0.0001;49687;42187;750;48970.98;48225.0;49687;42187;750;266;False
282;0.028856;0.000121;49687;42187;750;49017.9;47794.0;49687;42187;750;266;False
283;0.028245;0.000105;49687;42187;750;48942.71;47372.0;49687;42187;750;266;False
284;0.025515;0.000103;49687;42187;750;48842.09;47733.0;49687;42187;750;266;False
285;0.025341;0.000103;49687;42187;750;48948.0;47903.0;49687;42187;750;266;False
286;0.027408;0.000114;49687;42187;750;49032.7;47981.0;49687;42187;750;266;False
287;0.026772;9.7e-05;49687;42187;750;48981.06;47734.0;49687;42187;750;266;False
288;0.025905;0.000107;49687;42187;750;48861.65;47763.0;49687;42187;750;266;False
289;0.024739;9.1e-05;49687;42187;750;48878.12;47493.0;49687;42187;750;266;False
290;0.024419;9.6e-05;49687;42187;750;49020.55;48313.0;49687;42187;750;266;False
291;0.024511;9.2e-05;49687;42187;750;49017.49;47789.0;49687;42187;750;266;False
292;0.024265;9.3e-05;49687;42187;750;48934.09;47787.0;49687;42187;750;266;False
293;0.024375;0.000136;49687;42187;750;49089.52;48067.0;49687;42187;750;266;False
294;0.024404;0.000105;49687;42187;750;49034.38;48005.0;49687;42187;750;266;False
295;0.024214;9.6e-05;49687;42187;750;48942.69;47885.0;49687;42187;750;266;False
296;0.02506;0.000104;49687;42187;750;48925.27;47648.0;49687;42187;750;266;False
297;0.025714;9.4e-05;49687;42187;750;48963.19;47602.0;49687;42187;750;266;False
298;0.0251;0.0001;49687;42187;750;49018.14;47696.0;49687;42187;750;266;False
299;0.024615;9.4e-05;49687;42187;750;48940.05;48149.0;49687;42187;750;266;False
300;0.024658;0.000673;49687;42187;750;48934.22;47577.0;49687;42187;750;266;False
