geracao;tempo_geracao_s;tempo_callback_s
590;0.02808;6.4e-05
591;0.033994;6.6e-05
592;0.02942;6.8e-05
593;0.027793;6.5e-05
594;0.027185;7e-05
595;0.028039;6.8e-05
596;0.028197;6.8e-05
597;0.027229;6.9e-05
598;0.028441;7e-05
599;0.029146;7e-05
600;0.028304;0.000913
601;0.028491;6.9e-05
602;0.028939;7e-05
603;0.029236;7.1e-05
604;0.036501;7.2e-05
605;0.031445;8.8e-05
606;0.033607;8e-05
607;0.033799;7.2e-05
608;0.027619;7e-05
609;0.027065;7.1e-05
610;0.028182;7.3e-05
611;0.029703;7.6e-05
612;0.029931;7.6e-05
613;0.031319;0.000164
614;0.031324;7.2e-05
615;0.028599;7.2e-05
616;0.029054;6.8e-05
617;0.028118;8e-05
618;0.027783;6.7e-05
619;0.02876;6.9e-05
620;0.028405;7.6e-05
621;0.028654;7.1e-05
622;0.028107;6.6e-05
623;0.02822;7.1e-05
624;0.031054;7.3e-05
625;0.039024;8.2e-05
626;0.037633;7.5e-05
627;0.042221;0.000109
628;0.040237;0.000125
629;0.035379;7.9e-05
630;0.033851;8e-05
631;0.029824;7.2e-05
632;0.027773;6.9e-05
633;0.027101;7.6e-05
634;0.028419;6.6e-05
635;0.026391;7.1e-05
636;0.02628;6.5e-05
637;0.02714;6.8e-05
638;0.027496;7.2e-05
639;0.027879;6.6e-05
640;0.027778;6.7e-05
641;0.026773;7.1e-05
642;0.026461;6.4e-05
643;0.028091;6.6e-05
644;0.026488;6.3e-05
645;0.029966;7.5e-05
646;0.029229;6.6e-05
647;0.025868;6.7e-05
648;0.025555;6.9e-05
649;0.025017;5.9e-05
650;0.02429;6e-05
651;0.0254;6.3e-05
652;0.025432;0.000114
653;0.025555;6.9e-05
654;0.026781;6.8e-05
655;0.028157;7.4e-05
656;0.028971;7.2e-05
657;0.029236;7.4e-05
658;0.031374;7.2e-05
659;0.02898;7.8e-05
660;0.02922;7.6e-05
661;0.026407;7e-05
662;0.025523;6.6e-05
663;0.024628;5.8e-05
664;0.024323;9.4e-05
665;0.024309;6e-05
666;0.024267;6.4e-05
667;0.025146;7e-05
668;0.025511;6.7e-05
669;0.024898;6.6e-05
670;0.025574;6.8e-05
671;0.027224;7.8e-05
672;0.025901;6.6e-05
673;0.026645;6.6e-05
674;0.025498;7.5e-05
675;0.024968;6.3e-05
676;0.025292;6.6e-05
677;0.026242;6.5e-05
678;0.026129;6.5e-05
679;0.026044;6.5e-05
680;0.027486;8.3e-05
681;0.043898;0.000108
682;0.039331;7.4e-05
683;0.039707;0.0001
684;0.032994;7.1e-05
685;0.028993;6.6e-05
686;0.027192;6.5e-05
687;0.028242;6.6e-05
688;0.02874;6.6e-05
689;0.026519;6.3e-05
690;0.027345;6.7e-05
691;0.027932;6.8e-05
692;0.027714;6.8e-05
693;0.026986;6.6e-05
694;0.027384;7e-05
695;0.027216;7.6e-05
696;0.02706;6.7e-05
697;0.027399;6.2e-05
698;0.032021;8.9e-05
699;0.029389;6.8e-05
700;0.027716;0.000735
701;0.03767;0.000432
702;0.04547;7.6e-05
703;0.038531;8.9e-05
704;0.032104;8.2e-05
705;0.033278;9e-05
706;0.029971;7.2e-05
707;0.027929;7.2e-05
708;0.027602;6.5e-05
709;0.028048;6.5e-05
710;0.027506;6.6e-05
711;0.027793;6.6e-05
712;0.029354;7.1e-05
713;0.028218;6.7e-05
714;0.027055;6.6e-05
715;0.02632;6.3e-05
716;0.025468;6.3e-05
717;0.025691;6.4e-05
718;0.030026;6.5e-05
719;0.02698;6.5e-05
720;0.026925;6.8e-05
721;0.027644;6.5e-05
722;0.030688;7.9e-05
723;0.032959;7.3e-05
724;0.030105;7.6e-05
725;0.031273;6.5e-05
726;0.027156;6.4e-05
727;0.025581;6.2e-05
728;0.027668;6.4e-05
729;0.026527;6.6e-05
730;0.025329;6.5e-05
731;0.027567;6.5e-05
732;0.027809;7.7e-05
733;0.0323;7.1e-05
734;0.028528;0.000104
735;0.028703;6.4e-05
736;0.027747;6.3e-05
737;0.026137;6e-05
738;0.026208;6.5e-05
739;0.025988;6.1e-05
740;0.029192;7.6e-05
741;0.030632;6.8e-05
742;0.026716;6.3e-05
743;0.025873;6.1e-05
744;0.025494;7.7e-05
745;0.025766;6.5e-05
746;0.028348;6.9e-05
747;0.02776;7.3e-05
748;0.03195;7.7e-05
749;0.035168;7.6e-05
750;0.029816;7e-05
751;0.027132;6e-05
752;0.026389;8.3e-05
753;0.025897;0.000116
754;0.02591;6.3e-05
755;0.026033;6.2e-05
756;0.025765;6.6e-05
757;0.025435;6.2e-05
758;0.025825;6.6e-05
759;0.025249;6.6e-05
760;0.027499;6.9e-05
761;0.028202;8e-05
762;0.029269;7.7e-05
763;0.033226;7.9e-05
764;0.030707;7.5e-05
765;0.027253;6.3e-05
766;0.025173;5.9e-05
767;0.023758;9.2e-05
768;0.024041;6.4e-05
769;0.024519;6.1e-05
770;0.024626;5.9e-05
771;0.026875;6.5e-05
772;0.025099;6.4e-05
773;0.024616;5.4e-05
774;0.023937;5.9e-05
775;0.023448;6.2e-05
776;0.024592;6.1e-05
777;0.026153;6.5e-05
778;0.024761;6.1e-05
779;0.024568;5.8e-05
780;0.024336;5.8e-05
781;0.02457;6e-05
782;0.025848;6.2e-05
783;0.02467;5.7e-05
784;0.025572;7e-05
785;0.026744;6.8e-05
786;0.028328;6.7e-05
787;0.032655;7.9e-05
788;0.030601;6.6e-05
789;0.028826;7e-05
790;0.031062;6.6e-05
791;0.027867;6.6e-05
792;0.025253;5.8e-05
793;0.024061;6e-05
794;0.024412;6.1e-05
795;0.026281;6.2e-05
796;0.027698;6.8e-05
797;0.027695;6.7e-05
798;0.026935;6.4e-05
