avaliacao,SA Original,SA Variação 1,SA Variação 2
395,41053.4,40671.0,42602.3
396,41071.8,40685.0,42602.3
397,41086.7,40709.5,42608.7
398,41097.4,40734.6,42624.1
399,41104.6,40742.1,42628.4
400,41123.0,40742.6,42639.0
401,41128.2,40759.0,42639.0
402,41139.4,40778.1,42639.0
403,41150.4,40784.6,42653.4
404,41162.9,40797.1,42666.8
405,41163.2,40815.8,42666.8
406,41187.3,40833.0,42666.8
407,41218.6,40859.8,42666.8
408,41227.6,40860.8,42684.2
409,41233.3,40864.8,42684.2
410,41253.9,40864.8,42684.2
411,41253.9,40864.8,42684.2
412,41272.8,40878.1,42685.9
413,41281.3,40878.1,42685.9
414,41303.6,40891.3,42686.1
415,41319.0,40906.7,42694.2
416,41326.4,40917.9,42698.8
417,41339.4,40940.5,42700.1
418,41354.0,40954.5,42705.0
419,41356.8,40957.2,42723.8
420,41360.9,40961.9,42723.8
421,41372.2,40976.0,42723.8
422,41374.1,40981.6,42724.4
423,41388.5,40994.6,42767.7
424,41392.6,40999.5,42796.2
425,41399.2,41002.8,42801.4
426,41399.5,41009.1,42836.7
427,41403.7,41013.3,42864.9
428,41412.0,41024.4,42876.3
429,41412.0,41024.4,42895.6
430,41413.1,41038.2,42905.7
431,41425.4,41053.2,42955.1
432,41426.4,41054.9,42973.4
433,41432.5,41061.0,42985.0
434,41432.5,41061.0,43006.1
435,41434.7,41067.9,43007.8
436,41460.9,41070.3,43017.0
437,41477.4,41086.8,43036.3
438,41501.6,41121.4,43038.1
439,41513.0,41138.2,43038.1
440,41526.9,41152.1,43069.2
441,41543.8,41178.1,43076.4
442,41549.4,41183.7,43097.8
443,41571.4,41197.8,43100.1
444,41606.1,41229.7,43115.9
445,41628.0,41241.6,43136.2
446,41628.0,41244.2,43152.1
447,41634.8,41253.7,43161.7
448,41637.8,41258.4,43174.7
449,41639.7,41260.3,43207.3
450,41661.0,41261.4,43227.6
451,41666.8,41267.2,43229.0
452,41666.8,41267.2,43229.0
453,41666.8,41267.2,43229.0
454,41684.1,41280.9,43232.1
455,41684.1,41280.9,43239.2
456,41700.0,41295.8,43246.1
457,41704.3,41301.3,43272.4
458,41706.6,41301.3,43289.6
459,41718.2,41331.4,43299.8
460,41719.7,41339.5,43336.8
461,41738.0,41354.4,43361.9
462,41739.8,41354.4,43387.2
463,41757.3,41368.8,43387.2
464,41775.7,41371.9,43415.3
465,41792.3,41397.6,43459.3
466,41821.2,41420.6,43484.1
467,41827.8,41430.1,43492.6
468,41830.4,41432.7,43495.6
469,41834.4,41438.0,43518.4
470,41843.5,41441.0,43536.7
471,41845.8,41449.2,43562.4
472,41848.0,41459.1,43613.0
473,41850.2,41462.3,43630.5
474,41877.6,41494.8,43630.5
475,41877.6,41503.1,43694.6
476,41884.6,41510.1,43717.0
477,41901.6,41541.5,43745.2
478,41904.4,41544.3,43745.2
479,41907.0,41546.9,43748.2
480,41960.1,41598.2,43767.7
481,41981.5,41619.6,43768.9
482,41998.9,41627.1,43783.5
483,42001.1,41629.3,43783.5
484,42011.4,41634.7,43816.2
485,42015.9,41639.2,43827.3
486,42044.9,41656.2,43857.4
487,42069.7,41671.2,43873.0
488,42078.2,41677.5,43873.9
489,42090.9,41686.4,43882.7
490,42094.6,41697.4,43893.2
491,42108.7,41708.0,43894.6
492,42118.8,41717.3,43907.7
493,42139.6,41739.5,43920.9
494,42146.8,41744.3,43936.9
495,42167.9,41756.5,43936.9
496,42168.2,41761.1,43972.8
497,42196.7,41775.8,43981.6
498,42223.5,41792.6,44009.2
499,42226.5,41792.6,44020.2
500,42254.9,41807.2,44020.2
501,42261.3,41816.1,44022.2
502,42287.8,41816.5,44024.1
503,42314.0,41838.9,44024.1
504,42341.3,41877.6,44045.6
505,42343.6,41894.7,44069.4
506,42375.8,41913.3,44093.4
507,42377.2,41916.0,44143.0
508,42392.8,41918.8,44173.9
509,42427.2,41941.7,44174.3
510,42433.5,41943.9,44196.0
511,42452.0,41959.6,44210.9
512,42486.7,41980.7,44217.7
513,42506.2,41999.6,44219.1
514,42530.9,42046.8,44219.1
515,42531.8,42063.4,44220.9
516,42561.8,42066.0,44244.7
517,42579.9,42074.1,44248.4
518,42600.1,42105.0,44248.4
519,42624.5,42123.0,44259.7
520,42626.7,42142.4,44295.7
521,42653.9,42168.5,44301.6
522,42666.4,42194.5,44301.6
523,42675.8,42201.3,44310.7
524,42728.3,42245.0,44330.0
525,42755.2,42271.4,44337.0
526,42773.9,42300.9,44339.4
527,42785.4,42307.7,44383.1
528,42805.8,42331.7,44439.9
529,42811.7,42331.7,44439.9
530,42816.8,42342.7,44449.6
531,42822.9,42345.5,44492.7
532,42850.4,42378.8,44518.5
533,42863.5,42378.8,44541.9
534,42893.3,42399.9,44542.6
535,42895.9,42414.8,44542.6
536,42919.2,42432.8,44573.2
537,42941.7,42450.1,44594.8
538,42951.8,42460.2,44640.1
539,42961.9,42460.3,44693.3
540,42972.0,42470.9,44716.4
541,42973.6,42473.9,44716.4
542,42980.4,42475.8,44725.9
543,42980.4,42475.8,44725.9
544,42982.9,42478.8,44750.3
545,42995.0,42479.3,44756.0
546,43026.3,42489.9,44789.2
547,43040.9,42503.9,44795.2
548,43081.4,42549.0,44800.7
549,43113.2,42564.0,44800.7
550,43134.2,42577.9,44801.5
551,43146.6,42590.4,44825.2
552,43155.2,42626.9,44826.6
553,43155.9,42629.5,44829.7
554,43155.9,42629.5,44869.2
555,43155.9,42629.5,44897.9
556,43159.0,42634.1,44897.9
557,43165.5,42638.8,44897.9
558,43167.8,42647.8,44907.2
559,43178.1,42647.8,44961.7
560,43187.0,42660.8,44962.0
561,43204.8,42672.7,44966.1
562,43216.0,42702.1,44973.3
563,43241.7,42712.5,44974.6
564,43243.6,42712.5,44987.7
565,43251.6,42740.7,44990.3
566,43254.8,42740.7,45007.8
567,43254.8,42740.7,45025.5
568,43257.7,42743.9,45028.3
569,43262.3,42748.5,45040.5
570,43286.6,42765.1,45046.3
571,43306.0,42767.3,45059.8
572,43307.1,42768.4,45063.6
573,43320.7,42772.0,45088.6
574,43320.7,42772.0,45108.5
575,43320.7,42781.6,45147.0
576,43325.1,42784.5,45147.0
577,43325.1,42784.5,45155.1
578,43325.1,42784.5,45175.5
579,43344.6,42795.4,45190.4
580,43347.3,42798.1,45191.0
581,43360.7,42798.1,45191.0
582,43363.3,42798.1,45235.4
583,43365.7,42798.1,45244.5
584,43372.1,42798.1,45255.1
585,43385.0,42802.2,45265.7
586,43385.0,42802.8,45265.7
587,43385.0,42802.8,45294.0
588,43409.1,42807.0,45299.4
589,43414.2,42817.3,45299.6
590,43437.2,42841.8,45314.3
591,43441.5,42842.9,45314.3
592,43444.4,42848.2,45329.6
593,43446.9,42848.2,45359.0
594,43471.2,42864.1,45359.0
595,43493.9,42877.9,45382.6
596,43510.8,42899.5,45382.6
597,43510.8,42908.2,45399.5
598,43518.6,42920.2,45399.5
599,43521.1,42926.2,45399.5
600,43527.8,42926.2,45419.0
601,43534.2,42926.2,45443.9
602,43553.0,42931.7,45469.0
603,43553.5,42936.3,45479.1
604,43570.4,42951.0,45481.8
605,43570.4,42953.9,45486.3
606,43608.5,42961.8,45504.5
607,43613.1,42961.8,45527.6
608,43629.2,42987.8,45527.6
609,43644.6,42987.8,45533.1
610,43664.4,42993.1,45537.8
611,43708.7,43014.9,45573.8
612,43736.1,43033.6,45598.1
613,43741.6,43060.1,45598.1
614,43757.4,43066.7,45633.2
615,43772.5,43083.5,45633.7
616,43791.2,43083.5,45652.3
617,43815.5,43084.6,45658.0
618,43833.8,43087.2,45691.4
619,43852.4,43087.2,45720.2
620,43882.1,43087.2,45727.3
621,43882.4,43116.0,45769.4
622,43914.9,43116.0,45769.4
623,43935.8,43137.1,45776.0
624,43943.4,43137.1,45786.8
625,43956.6,43137.1,45814.8
626,43971.3,43147.9,45823.7
627,43989.4,43177.3,45824.9
628,43996.1,43180.6,45844.1
629,44008.8,43206.2,45844.1
630,44034.9,43208.5,45872.9
631,44034.9,43208.5,45878.5
632,44044.4,43209.5,45892.2
633,44067.4,43209.5,45903.4
634,44068.3,43210.3,45939.1
635,44082.9,43217.9,45942.6
636,44107.2,43233.6,45942.6
637,44107.2,43236.5,45966.0
