avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
245,39036,39456,38072,38555,36817,38957,38085,38866,38157,38544
246,39183,39456,38072,38555,36965,38957,38085,38866,38157,38544
247,39183,39456,38072,38573,36965,38957,38085,38866,38157,38544
248,39183,39496,38072,38573,36965,38957,38135,38887,38157,38544
249,39187,39496,38072,38573,37005,38970,38135,38887,38157,38544
250,39187,39496,38072,38573,37005,38970,38135,38887,38157,38544
251,39187,39496,38072,38573,37005,38970,38135,38887,38205,38544
252,39356,39496,38072,38573,37029,38970,38135,38887,38205,38544
253,39376,39627,38072,38573,37029,38970,38225,38887,38205,38544
254,39395,39628,38072,38573,37029,38970,38392,38887,38357,38544
255,39395,39629,38072,38573,37110,39017,38392,38887,38540,38544
256,39395,39629,38072,38573,37110,39017,38397,38887,38540,38544
257,39395,39760,38072,38573,37110,39017,38450,38887,38540,38544
258,39395,39760,38072,38573,37110,39017,38609,38887,38540,38544
259,39483,39760,38072,38573,37183,39017,38773,38887,38540,38544
260,39483,39760,38072,38573,37183,39017,38773,38947,38540,38544
261,39499,39784,38072,38573,37204,39017,38773,39005,38749,38544
262,39536,39873,38072,38573,37272,39017,38773,39005,38749,38544
263,39536,39886,38072,38573,37272,39017,38773,39144,38749,38544
264,39709,39886,38072,38573,37272,39050,38773,39155,38749,38544
265,39709,39886,38072,38573,37272,39050,38773,39155,38749,38544
266,39709,39886,38072,38573,37272,39050,38773,39155,38749,38544
267,39709,39886,38072,38573,37272,39067,38773,39155,38749,38544
268,39709,39886,38072,38573,37272,39181,38773,39174,38749,38544
269,39709,39886,38072,38573,37272,39362,38773,39174,38749,38544
270,39709,39886,38072,38573,37272,39522,38773,39174,38749,38544
271,39709,39888,38072,38573,37272,39522,38773,39178,38749,38544
272,39709,39888,38141,38573,37272,39522,38773,39178,38749,38544
273,39709,39888,38141,38573,37272,39522,38773,39178,38749,38544
274,39709,39888,38141,38573,37272,39522,38773,39178,38749,38544
275,39709,39888,38141,38573,37272,39522,38773,39178,38749,38544
276,39709,39888,38141,38573,37306,39522,38773,39178,38749,38544
277,39709,39888,38197,38573,37306,39522,38773,39178,38749,38544
278,39709,39903,38265,38573,37306,39546,38773,39178,38749,38544
279,39709,39940,38454,38573,37306,39546,38773,39178,38749,38544
280,39814,39940,38529,38573,37335,39546,38773,39190,38749,38544
281,39814,39940,38541,38573,37497,39546,38773,39190,38749,38544
282,39945,39947,38627,38573,37497,39546,38773,39364,38749,38544
283,39945,39947,38627,38573,37517,39546,38773,39412,38749,38544
284,39945,39947,38627,38573,37518,39546,38773,39420,38749,38544
285,39945,39947,38627,38573,37518,39546,38773,39420,38749,38544
286,40087,40070,38627,38573,37518,39546,38773,39420,38749,38544
287,40087,40171,38734,38607,37518,39546,38773,39420,38749,38544
288,40087,40171,38734,38645,37518,39546,38773,39420,38749,38544
289,40106,40299,38734,38645,37518,39546,38773,39438,38749,38544
290,40288,40299,38734,38645,37531,39546,38773,39450,38749,38544
291,40288,40299,38734,38645,37531,39546,38773,39450,38749,38544
292,40288,40384,38734,38645,37531,39546,38773,39450,38749,38544
293,40288,40384,38832,38645,37531,39546,38773,39614,38749,38544
294,40421,40384,38843,38645,37531,39546,38773,39614,38749,38544
295,40439,40384,38843,38645,37580,39546,38773,39614,38749,38544
296,40439,40384,38865,38645,37610,39546,38773,39614,38749,38544
297,40439,40384,38865,38645,37639,39546,38773,39703,38749,38544
298,40439,40384,38865,38645,37812,39546,38773,39703,38749,38544
299,40439,40482,38865,38645,37834,39546,38773,39703,38749,38544
300,40439,40482,38865,38645,37834,39546,38773,39703,38749,38544
301,40439,40482,38865,38645,37834,39546,38773,39703,38749,38544
302,40439,40514,38865,38645,37834,39546,38889,39703,38749,38544
303,40439,40514,38865,38645,37834,39546,38889,39703,38749,38548
304,40439,40514,38865,38645,37834,39546,38889,39747,38749,38659
305,40441,40540,38865,38645,37834,39546,38889,39747,38749,38803
306,40441,40559,38865,38645,37834,39546,38889,39776,38749,38803
307,40499,40611,38865,38645,37834,39557,38987,39818,38749,38869
308,40499,40611,38865,38645,37834,39557,39104,39827,38749,38869
309,40564,40611,38865,38645,37834,39618,39104,39827,38749,38869
310,40593,40728,38865,38645,37834,39779,39225,39827,38749,38869
311,40636,40728,38865,38645,37834,39916,39334,39827,38749,38950
312,40710,40728,38865,38645,37834,40028,39334,39846,38749,38962
313,40831,40814,38865,38645,37834,40028,39334,39846,38749,38962
314,40854,40814,38865,38645,37834,40028,39334,39887,38749,38962
315,40863,40814,38865,38645,37834,40028,39334,40043,38749,38962
316,40863,40814,38865,38645,37834,40028,39334,40172,38749,38962
317,40989,40814,38865,38645,37834,40028,39334,40172,38756,38979
318,40989,40814,38865,38645,37850,40028,39334,40172,38756,38987
319,41001,40814,38865,38645,37850,40028,39334,40314,38756,39071
320,41001,40814,38865,38669,37850,40028,39334,40464,38803,39118
321,41115,40814,38865,38706,37850,40028,39334,40464,38803,39274
322,41118,40814,38865,38744,37850,40076,39334,40464,38890,39305
323,41118,40814,38865,38744,37850,40187,39334,40604,38890,39305
