step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
122,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
123,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
124,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
125,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
126,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
127,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
128,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
129,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
130,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
131,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
132,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
133,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
134,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
135,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
136,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
137,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
138,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
139,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
140,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
141,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
142,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
143,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
144,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
145,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
146,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
147,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
148,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
149,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
150,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
151,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
152,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
153,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
154,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
155,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
156,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
157,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
158,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
159,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
160,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
161,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
162,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
163,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
164,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
165,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
166,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
167,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
168,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
